BUYER_COUNTY,BUYER_STATE,countyfips,STATE,COUNTY,county_name,NAME,variable,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,Average
AUTAUGA,AL,1001,1,1,Autauga,"Autauga County, Alabama",B01003_001,51328,52405,53277,49584,53155,53944,54590,52611.85714
BALDWIN,AL,1003,1,3,Baldwin,"Baldwin County, Alabama",B01003_001,168121,172404,175827,171997,175791,179523,183226,175269.8571
BARBOUR,AL,1005,1,5,Barbour,"Barbour County, Alabama",B01003_001,27861,27757,27808,29663,27699,27546,27469,27971.85714
BIBB,AL,1007,1,7,Bibb,"Bibb County, Alabama",B01003_001,22099,22438,22705,21464,22610,22746,22769,22404.42857
BLOUNT,AL,1009,1,9,Blount,"Blount County, Alabama",B01003_001,55485,56240,57055,56804,56692,57140,57466,56697.42857
BULLOCK,AL,1011,1,11,Bullock,"Bullock County, Alabama",B01003_001,10776,11011,10953,10917,10923,10877,10779,10890.85714
BUTLER,AL,1013,1,13,Butler,"Butler County, Alabama",B01003_001,20815,20894,20949,20189,20895,20860,20730,20761.71429
CALHOUN,AL,1015,1,15,Calhoun,"Calhoun County, Alabama",B01003_001,115388,116211,117274,112969,117149,117614,117834,116348.4286
CHAMBERS,AL,1017,1,17,Chambers,"Chambers County, Alabama",B01003_001,34945,34847,34563,34704,34579,34375,34228,34605.85714
CHEROKEE,AL,1019,1,19,Cherokee,"Cherokee County, Alabama",B01003_001,25466,25553,25636,24427,25700,25819,25917,25502.57143
CHILTON,AL,1021,1,21,Chilton,"Chilton County, Alabama",B01003_001,42318,42881,43239,42272,43121,43444,43611,42983.71429
CHOCTAW,AL,1023,1,23,Choctaw,"Choctaw County, Alabama",B01003_001,14431,14216,14114,14229,14111,13953,13838,14127.42857
CLARKE,AL,1025,1,25,Clarke,"Clarke County, Alabama",B01003_001,26755,26436,26283,26438,26255,26046,25768,26283
CLAY,AL,1027,1,27,Clay,"Clay County, Alabama",B01003_001,14053,14085,14161,13769,14040,14010,13828,13992.28571
CLEBURNE,AL,1029,1,29,Cleburne,"Cleburne County, Alabama",B01003_001,14538,14799,14874,14579,14823,14881,14905,14771.28571
COFFEE,AL,1031,1,31,Coffee,"Coffee County, Alabama",B01003_001,46228,47458,48516,46802,48349,49221,49966,48077.14286
COLBERT,AL,1033,1,33,Colbert,"Colbert County, Alabama",B01003_001,54413,54486,54473,54546,54446,54478,54451,54470.42857
CONECUH,AL,1035,1,35,Conecuh,"Conecuh County, Alabama",B01003_001,13603,13441,13388,13114,13382,13286,13188,13343.14286
COOSA,AL,1037,1,37,Coosa,"Coosa County, Alabama",B01003_001,11451,11439,11493,10777,11470,11303,11305,11319.71429
COVINGTON,AL,1039,1,39,Covington,"Covington County, Alabama",B01003_001,37441,37631,37545,36688,37608,37736,37803,37493.14286
CRENSHAW,AL,1041,1,41,Crenshaw,"Crenshaw County, Alabama",B01003_001,13880,13956,13922,13687,13928,13938,13971,13897.42857
